"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","SC0918","Raspberry_Pi_Pico_W_Kicad_Files-main:MODULE_SC0918",""
"2","BZ1, BZ2","2","Buzzer","",""
"3","C1, C2, C3, C4, C5, C6","6","C_Polarized_Small","",""
"4","D1","1","LED_RGB","",""
"5","D2","1","LED_BGRK","",""
"6","J1","1","WS2812","",""
"7","J2","1","conector_idc","",""
"8","J3","1","JOYSTICK","",""
"9","OLED1","1","SSD1306","",""
"10","Q1, Q2","2","BC337","Package_TO_SOT_THT:TO-92_Inline",""
"11","R1, R2, R3, R4, R5","5","R","",""
"12","SW1, SW2, SW3","3","SW_Push","",""
"13","U1","1","uA7805","",""
