Altium Designer Pick and Place Locations
G:\Meu Drive\Pessoal\Engenharia\BSB Engenharia\Escola 4.0\PCBs BitDogLab\Altium\BitDogLab V7\Project Outputs for BitDogLab V7\Pick Place for BitDogLab V7.csv

========================================================================================================================
File Design Information:

Date:       17/06/25
Time:       19:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","JoyStick 2 Eixos COM-09032","TopLayer","JoyStick_PCB_-_PS5_3.0","","2492.153","2319.917","180","Joystick AnalÛgico (Resistivo e de Efeito Hall)"
"BT1","FP-1043P-MFG","TopLayer","Bateria_18650_-_SMD","","3612.592","1444.664","270","Bateria 18650 3,7V"
"R4","100K","TopLayer","FP-CRCW0603-e3-IPC_C","","5044.000","1963.000","0","RES Thick Film, 100kO, 1%, 0.1W, 100ppm/∞C, 0603"
"Q3","DMG2305UX-7","TopLayer","FP-SOT23-IPC_B","","5030.000","1853.000","270","MOSFET P-CH 20V 4.2A SOT23"
"U2","INA226 - Power Meter I2C","TopLayer","MSOP_10_Pinos","","3654.000","1467.930","0","Ultra-Precise I2C Output Current, Voltage, and Power Monitor"
"R8","10K","TopLayer","FP-CRCW0603-e3-IPC_C","","3580.000","1254.228","90","RES Thick Film, 10kO, 1%, 0.1W, 100ppm/∞C, 0603"
"R7","10K","TopLayer","FP-CRCW0603-e3-IPC_C","","3646.000","1254.000","90","RES Thick Film, 10kO, 1%, 0.1W, 100ppm/∞C, 0603"
"R6","10K","TopLayer","FP-CRCW0603-e3-IPC_C","","3713.000","1254.000","90","RES Thick Film, 10kO, 1%, 0.1W, 100ppm/∞C, 0603"
"R2","0R1","TopLayer","FP-RL2512-MFG","","4879.000","1884.000","90","RES 0.1 OHM 1% 1W 2512"
"C8","Cap","TopLayer","Capacitor_SMD_0603","Capacitor Ceramico","3788.000","1471.480","90","Capacitor SMD 0402"
"U6","SSD1306","TopLayer","DISPLAY_OLED_128x128_e_128x64","Display SH1107e SSD1306","4564.498","3849.883","0","0.96"ù 128 X 64 MONOCHROME GRAPHIC OLED DISPLAY MODULE - I2C"
"B5","BOT√O C","TopLayer","CHAVE_T¡CTIL_12mm_-_SMD","Chave Tactile de 6mm - Acionador Curto","4556.575","1954.685","90","CHAVE T¡CTIL 12mm - SMD"
"B1","Desliga","TopLayer","CHAVE_T¡CTIL_SMD_90","SHOU HAN TS24CA 90 graus
LCSC Part C393942","5321.614","2386.343","270","Bot„o Desliga Placa"
"R1","10K","TopLayer","FP-CRCW0603-e3-IPC_C","","4950.000","2455.000","0","RES Thick Film, 10kO, 1%, 0.1W, 100ppm/∞C, 0603"
"J7","KRE","TopLayer","HDR1X2_3D_Macho","Connector; Header; 2 Position","2031.000","1190.000","270","Entrada Bateria Externa"
"D1","BAT54S","TopLayer","FP-6_541-5014_01-4-MFG","","5310.000","1858.000","270","Diodo Schottky SOT23"
